ID,REGIÓN,PROVINCIA,DISTRITO,Codigo del Recurso,Nombre del Recurso,CATEGORIA,Tipo de Categoria,Sub tipo Categoria,URL,LATITUD,LONGITUD
1449,Lima,Lima,RÍMAC,"4,055",Parroquia San Lázaro,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4055,-77.02927782209008,-12.039898568829921
1450,Lima,Lima,RÍMAC,"4,056",Iglesia Santa Liberata,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4056,-77.02621382209014,-12.035765376752273
1451,Lima,Lima,RÍMAC,"4,058",Parroquia San Lorenzo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4058,-77.02561863558196,-12.041498246383483
1452,Ayacucho,Huamanga,AYACUCHO,"4,059",Templo De La Buena Muerte,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4059,-74.22406999999998,-13.161415
1453,Ayacucho,Huamanga,AYACUCHO,"4,060",Templo Del Buen Pastor,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4060,-74.22542381349183,-13.158585835352546
1454,Ayacucho,Huamanga,AYACUCHO,"4,061",Capilla Del Panteon,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Capilla,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4061,-74.20933500000001,-13.168257
1455,Ayacucho,Huamanga,AYACUCHO,"4,062",Capilla De Nuestra Señora De Loreto,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Capilla,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4062,-74.22484927116397,-13.15985783531189
1456,Ayacucho,Huamanga,AYACUCHO,"4,063",Casa De La Moneda,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitectónico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4063,-74.22788700000001,-13.159338
1457,Ayacucho,Huamanga,AYACUCHO,"4,064",Casa Del Cabildo O Municipalidad,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitectónico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4064,-74.22483175992965,-13.16035707085049
1458,Ayacucho,Huamanga,AYACUCHO,"4,065",Centro Turistico-Cultural San Cristobal,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitectónico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4065,-74.22679131415555,-13.161691597037596
1459,Ayacucho,Huamanga,AYACUCHO,"4,066",Casa Solariega Gutierrez,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitectónico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4066,-74.2265509153442,-13.160800999999981
1460,Lima,Lima,RÍMAC,"4,070",Quinta Presa,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa-Hacienda,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4070,-77.03251911045072,-12.035742529440919
1461,Lima,Lima,RÍMAC,"4,071",Iglesia San Juan Bautista De Amancaes,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4071,-77.02858400000002,-12.015628
1462,San Martin,Bellavista,SAN PABLO,"4,077",Laguna De Sangamacocha.,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4077,-76.61400800000001,-6.784641
1463,San Martin,Bellavista,SAN PABLO,"4,078",Laguna De Situllicocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4078,-76.61400800000001,-6.784641
1464,San Martin,Bellavista,SAN PABLO,"4,079",Laguna De Chaupicocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4079,-76.61400800000001,-6.784641
